,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
226,Catholic Regional College,Secondary,MELTON,3337,54689.0,MELTON WEST,28.0,2.0
227,Catholic Regional College,Secondary,MELTON,3337,54689.0,SYDENHAM,29.0,3.7
228,Staughton College,Secondary,MELTON SOUTH,3338,56247.0,MELTON SOUTH,27.0,3.1
229,Bacchus Marsh College,Secondary,BACCHUS MARSH,3340,62158.0,BACCHUS MARSH,24.0,0.8
230,Mount Clear College,Secondary,BALLARAT,3350,57283.0,MOUNT CLEAR,27.0,2.1
231,St Patrick's College Ballarat,Secondary,BALLARAT,3350,57283.0,,,
232,Loreto College,Secondary,BALLARAT,3350,57283.0,BALLARAT,31.0,6.3
233,Damascus College,Secondary,MOUNT CLEAR,3350,57283.0,MOUNT CLEAR,28.0,2.9
234,Woodmans Hill Secondary College,Secondary,BAKERY HILL,3354,,BALLARAT EAST,24.0,1.0
235,Ballarat High School,Secondary,LAKE GARDENS,3355,50669.0,BALLARAT,28.0,3.9
236,Mount Rowan Secondary College,Secondary,WENDOUREE,3355,50669.0,WENDOUREE,25.0,0.0
237,Beaufort Secondary College,Secondary,BEAUFORT,3373,51989.0,BEAUFORT,28.0,0.0
238,Ararat Secondary College,Secondary,ARARAT,3377,52066.0,ARARAT,23.0,0.0
239,Marian College,Secondary,ARARAT,3377,52066.0,,,
240,Stawell Secondary College,Secondary,STAWELL,3380,51116.0,STAWELL,25.0,2.4
241,Warracknabeal Secondary College,Secondary,WARRACKNABEAL,3393,46267.0,,,
242,Horsham College,Secondary,HORSHAM,3402,,HORSHAM,29.0,1.8
243,St Brigid's College,Secondary,HORSHAM,3402,,HORSHAM,27.0,4.8
244,Dimboola Memorial Secondary College,Secondary,DIMBOOLA,3414,50774.0,,,
245,Sunbury College,Secondary,SUNBURY,3429,62356.0,SUNBURY,25.0,1.7
246,Sunbury Downs Secondary College,Secondary,SUNBURY,3429,62356.0,,,
247,Salesian College,Secondary,SUNBURY,3429,62356.0,CHADSTONE,30.0,4.0
248,Alice Miller School,Secondary,ROMSEY,3434,63200.0,MACEDON,32.0,9.3
249,Gisborne Secondary College,Secondary,GISBORNE,3437,72624.0,GISBORNE,26.0,2.1
250,Kyneton High School,Secondary,KYNETON,3444,59453.0,,,
251,Sacred Heart College,Secondary,KYNETON,3444,59453.0,YARRAWONGA,28.0,3.4
252,Castlemaine Secondary College,Secondary,CASTLEMAINE,3450,51187.0,CASTLEMAINE,28.0,6.5
253,Daylesford Secondary College,Secondary,DAYLESFORD,3460,52140.0,DAYLESFORD,27.0,2.0
254,Highview College,Secondary,MARYBOROUGH,3465,45704.0,,,
255,St Arnaud Secondary College,Secondary,ST ARNAUD,3478,46251.0,ST ARNAUD,29.0,0.0
256,Donald High School,Secondary,DONALD,3480,43844.0,DONALD,28.0,8.8
257,Red Cliffs Secondary College,Secondary,RED CLIFFS,3496,46034.0,RED CLIFFS,24.0,0.6
258,Irymple Secondary College,Secondary,IRYMPLE,3498,50483.0,,,
259,St Joseph's College Mildura,Secondary,MILDURA,3500,49597.0,,,
260,Chaffey Secondary College,Secondary,MILDURA,3502,,,,
261,Mildura Senior College,Secondary,MILDURA,3502,,MILDURA,25.0,1.3
262,Bendigo South East 7-10 Secondary College,Secondary,STRATHDALE,3550,54143.0,,,
