School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Mount Alexander 7-12 Coll,FLEMINGTON,31,3.8
Mount Beauty Sec College,MOUNT BEAUTY,28,2.7
Mount Clear College,MOUNT CLEAR,27,2.1
Mount Eliza Sec College,MOUNT ELIZA,31,6.2
Mount Erin College,FRANKSTON,27,1
Mount Evelyn Christian School,MOUNT EVELYN,31,9.8
Mount Lilydale Mercy College,LILYDALE,28,2.4
Mount Ridley P-12 College,CRAIGIEBURN,25,0.7
Mount Rowan Secondary College,WENDOUREE,25,0
Mount Scopus Memorial College,BURWOOD,38,39.7
Mount St Joseph Girls' College,ALTONA,31,8.6
Mount Waverley Sec College,MOUNT WAVERLEY,31,8.1
Mountain District Christian SC,MONBULK,27,1.9
Mountain District Learn Centre,FERNTREE GULLY,,
Mt Hira College,KEYSBOROUGH,26,3.5
Mullauna College,MITCHAM,28,3.3
Murrayville Community College,MURRAYVILLE,29,0
Murtoa P-12 College,MURTOA,26,3.9
Myrtleford P-12 College,MYRTLEFORD,28,3.9
Nagle College,BAIRNSDALE,29,3
Narre Warren Sth P-12 College,NARRE WARREN SOUT,33,13.4
Nathalia Secondary College,NATHALIA,28,0
Nazareth College,NOBLE PARK NORTH,29,9.1
Neerim District Sec College,NEERIM SOUTH,25,0
Newcomb Secondary College,NEWCOMB,26,3.2
Newhaven College,RHYLL,31,8.8
Nhill College,NHILL,27,1.3
Noble Park Secondary College,NOBLE PARK,25,1.5
North Geelong Sec College,GEELONG NORTH,25,0.9
Northcote High School,NORTHCOTE,31,6.3
Northern Bay P-12 College,CORIO,24,1.9
Northern College of Arts & Tech,PRESTON EAST,26,1.5
Northside Christian College,BUNDOORA,31,7.9
Norwood Secondary College,RINGWOOD,29,2.4
Nossal High School,BERWICK,36,26.3
Notre Dame College,SHEPPARTON,28,4.1
Numurkah Secondary College,NUMURKAH,24,0
Nunawading Christian College,NUNAWADING,30,4.1
Oakleigh Grammar,OAKLEIGH,31,3.4
Oakwood School,CAULFIELD NORTH,,
Oberon High School,ARMSTRONG CREEK,29,4
Officer Secondary College,OFFICER,25,1.1
OneSchool Global Vic,MELTON,31,5.4
Orbost Secondary College,ORBOST,29,10.4
Our Lady of Mercy College,HEIDELBERG,32,11.6
Our Lady of Sacred Heart Coll,BENTLEIGH,33,12.2
Our Lady of Sion College,BOX HILL,32,10.4
Ouyen P-12 College,OUYEN,27,0
Overnewton Anglican Comm Coll,KEILOR,31,7.3
Oxley Christian College,CHIRNSIDE PARK,31,7.7
Ozford College,MELBOURNE,21,1.2
Padua College,MORNINGTON,30,5.1
Pakenham Secondary College,PAKENHAM,27,0.6
Parade College,BUNDOORA,30,3.2
Parkdale Secondary College,MORDIALLOC,30,4.5
Parkville College,PARKVILLE,,
Pascoe Vale Girls Sec College,PASCOE VALE,26,2.2
Patterson River Sec College,CARRUM,26,1.4
Peninsula Grammar,MOUNT ELIZA,33,12.8
Penleigh & Essendon Grammar,KEILOR EAST,35,23
Penola Catholic College,BROADMEADOWS,27,1
Peter Lalor Vocational Coll,LALOR,,
Phoenix P-12 Comm Coll,SEBASTOPOL,26,1.4
Pines Learning,DONCASTER EAST,,
Plenty Valley Christian College,DOREEN,31,4.1
Point Cook Senior Sec College,POINT COOK,28,2.7
Portland Secondary College,PORTLAND,28,3.2
Presbyterian Ladies' College,BURWOOD,36,27.6
Presentation College,WINDSOR,29,3.9
Preston Reservoir ACE,RESERVOIR,,
Princes Hill Sec College,PRINCES HILL,32,7.4
Rainbow P-12 College,RAINBOW,28,0
Red Cliffs Secondary College,RED CLIFFS,24,0.6
Reservoir High School,RESERVOIR,28,2.7
Ringwood Secondary College,RINGWOOD,30,9.9
River Nile School,NORTH MELBOURNE,,
RMIT TAFE,MELBOURNE,25,2.7
Robinvale College,ROBINVALE,27,0
Rochester Secondary College,ROCHESTER,31,4.2
Rosebud Secondary College,ROSEBUD,27,2.3
Rosehill Secondary College,NIDDRIE,29,2.8
Rowville Secondary College,ROWVILLE,25,1.9
Roxburgh College,ROXBURGH PARK,24,1.4
Rushworth P-12 College,RUSHWORTH,25,2.2
Rutherglen High School,RUTHERGLEN,25,1.1
Ruyton Girls' School,KEW,36,27.1
Sacre Coeur,GLEN IRIS,35,20.8
Sacred Heart College,YARRAWONGA,28,3.4
Sacred Heart College Geelong,NEWTOWN,32,11.2
Sacred Heart College Kyneton,KYNETON,29,4.7
Sacred Heart Girls' College,HUGHESDALE,34,12.9
Saint Ignatius College,DRYSDALE,30,5.5
Sale College,SALE,25,0.4
Salesian College,CHADSTONE,30,4
Salesian College Sunbury,SUNBURY,30,4.7
Sandringham College,SANDRINGHAM,30,7.9
Santa Maria College,NORTHCOTE,31,9.7
Scoresby Secondary College,SCORESBY,25,1.1
Scotch College,HAWTHORN,35,23.4
SEDA College,HAWTHORN EAST,,
Seymour College,SEYMOUR,26,2.6
Shelford Girls' Grammar,CAULFIELD,35,18.2
Shepparton ACE College,SHEPPARTON,,
Shepparton Christian College,SHEPPARTON,27,3.7
Sherbrooke Community School,SASSAFRAS,28,3.3
Siena College,CAMBERWELL,33,16.5
Simonds Catholic College,FITZROY NORTH,31,9
